,Price,Mileage,Make
0,17314.10313,8221.0,Buick
1,17542.03608,9135.0,Buick
2,16218.84786,13196.0,Buick
3,16336.91314,16342.0,Buick
4,16339.17032,20770.0,Buick
5,15709.052819999999,20770.0,Buick
6,15230.00339,22576.0,Buick
7,15048.04218,22964.0,Buick
8,14862.093869999999,24021.0,Buick
9,15295.018269999999,27325.0,Buick
10,21335.85248,10237.0,Buick
11,20538.08751,15066.0,Buick
12,20512.094090000002,16633.0,Buick
13,19924.15905,19800.0,Buick
14,19774.249069999998,23359.0,Buick
15,19344.16554,23765.0,Buick
16,19105.130119999998,24008.0,Buick
17,18543.42705,26034.0,Buick
18,17808.199,32896.0,Buick
19,17968.83828,34665.0,Buick
20,22358.87768,8970.0,Buick
21,23785.92253,10577.0,Buick
22,22926.090369999998,14363.0,Buick
23,21895.75878,16508.0,Buick
24,21273.061709999998,18908.0,Buick
25,21460.01395,19467.0,Buick
26,21183.12359,21394.0,Buick
27,20406.0995,22596.0,Buick
28,21058.139580000003,24469.0,Buick
29,19556.89932,25245.0,Buick
30,23447.68656,15755.0,Buick
31,23547.23944,16235.0,Buick
32,23016.008009999998,18147.0,Buick
33,22230.0275,22102.0,Buick
34,22625.07357,23612.0,Buick
35,21799.1721,24439.0,Buick
36,21341.25721,25212.0,Buick
37,21683.03146,26779.0,Buick
38,20986.01602,27096.0,Buick
39,20902.10379,29649.0,Buick
40,20698.077080000003,2992.0,Buick
41,20099.256840000002,10036.0,Buick
42,18145.126490000002,18339.0,Buick
43,17944.85692,19592.0,Buick
44,19027.86231,21797.0,Buick
45,18348.898569999998,23852.0,Buick
46,17750.88457,25040.0,Buick
47,17772.969680000002,25052.0,Buick
48,17394.0214,25464.0,Buick
49,17645.74504,27830.0,Buick
50,21908.366619999997,17353.0,Buick
51,21956.34266,17787.0,Buick
52,21646.11692,19562.0,Buick
53,21575.456830000003,20137.0,Buick
54,20952.2178,20158.0,Buick
55,21562.047580000002,23767.0,Buick
56,19981.12791,24323.0,Buick
57,19425.848619999997,27839.0,Buick
58,19191.98962,29187.0,Buick
59,19641.7419,31324.0,Buick
60,25589.98315,2308.0,Buick
61,25098.62906,10014.0,Buick
62,23420.70695,18910.0,Buick
63,22661.04849,20105.0,Buick
64,23493.0823,20453.0,Buick
65,22435.20282,22287.0,Buick
66,21878.12,23237.0,Buick
67,23077.56591,23798.0,Buick
68,21698.01475,25489.0,Buick
69,21831.82292,25564.0,Buick
70,26831.194040000002,4695.0,Buick
71,26060.33535,9795.0,Buick
72,26781.81465,12052.0,Buick
73,26302.07428,13050.0,Buick
74,26190.27147,17335.0,Buick
75,25508.21096,17480.0,Buick
76,23348.01695,24027.0,Buick
77,23406.68982,25387.0,Buick
78,23159.54378,25869.0,Buick
79,21536.74173,37128.0,Buick
80,51154.04722,2202.0,Cadillac
81,49248.15897,6685.0,Cadillac
82,46747.67327,15343.0,Cadillac
83,44130.617060000004,21341.0,Cadillac
84,44084.91421,21367.0,Cadillac
85,43892.467880000004,23371.0,Cadillac
86,44300.63996,23751.0,Cadillac
87,42677.60112,24052.0,Cadillac
88,43374.05242,25199.0,Cadillac
89,40619.07227,30082.0,Cadillac
90,33417.96501,6598.0,Cadillac
91,30957.08075,10625.0,Cadillac
92,31431.13037,11013.0,Cadillac
93,30781.51563,14937.0,Cadillac
94,30646.4377,17094.0,Cadillac
95,30792.14903,17870.0,Cadillac
96,30392.750160000003,18449.0,Cadillac
97,28817.08185,21039.0,Cadillac
98,29275.208710000003,21056.0,Cadillac
99,28040.12853,27484.0,Cadillac
100,39801.55135,14095.0,Cadillac
101,40335.737310000004,14743.0,Cadillac
102,39307.00916,16041.0,Cadillac
103,38600.23956,17138.0,Cadillac
104,38445.89717,18661.0,Cadillac
105,36077.79612,20770.0,Cadillac
106,35866.58271,20770.0,Cadillac
107,35338.65369,20770.0,Cadillac
108,36154.30355,20770.0,Cadillac
109,34685.66298,20770.0,Cadillac
110,42820.32902,20770.0,Cadillac
111,41378.04809,20770.0,Cadillac
112,40856.3909,20770.0,Cadillac
113,41419.037260000005,20770.0,Cadillac
114,37510.25357,20770.0,Cadillac
115,37215.16938,20770.0,Cadillac
116,36332.89469,20770.0,Cadillac
117,36245.15823,20770.0,Cadillac
118,32954.141339999995,20770.0,Cadillac
119,32537.18675,41829.0,Cadillac
120,35715.768560000004,6447.0,Cadillac
121,35651.68002,10555.0,Cadillac
122,35129.340769999995,11975.0,Cadillac
123,35165.75937,13449.0,Cadillac
124,32501.245189999998,17508.0,Cadillac
125,33220.02845,18661.0,Cadillac
126,32509.47829,20910.0,Cadillac
127,31132.21349,23124.0,Cadillac
128,31181.715160000003,26222.0,Cadillac
129,31059.18103,27544.0,Cadillac
130,42741.52367,2846.0,Cadillac
131,40966.607410000004,7476.0,Cadillac
132,38795.379089999995,13973.0,Cadillac
133,38297.46254,16754.0,Cadillac
134,37192.89637,19100.0,Cadillac
135,36210.123,21778.0,Cadillac
136,36633.633819999995,22042.0,Cadillac
137,35895.499410000004,23056.0,Cadillac
138,34974.378039999996,25796.0,Cadillac
139,32038.339560000004,35326.0,Cadillac
140,48310.32954,788.0,Cadillac
141,48365.9809,20770.0,Cadillac
142,45061.95194,20770.0,Cadillac
